name,cik,sic_code,s1_filing_date
Autolus Therapeutics plc,0001730463,2836,2025-05-08
AVIRON,0000949173,2836,1996-06-05
BIOPURE CORP,0000815508,2836,1999-05-19
"Calidi Biotherapeutics, Inc.",0001855485,2836,2021-08-24
"CASI Pharmaceuticals, Inc (DE)",0000895051,2836,1996-06-11
CELLDEX THERAPEUTICS INC,0001286517,2836,2004-04-09
"Century Therapeutics, Inc.",0001850119,2836,2021-05-28
CHARLES RIVER LABORATORIES INC,0001097797,2836,1999-12-01
CLONTECH LABORATORIES INC,0000816281,2836,1999-02-19
COLLATERAL THERAPEUTICS INC,0001060329,2836,1998-04-24
"Cordex Pharma, Inc.",0001127842,2836,2008-03-19
CORIXA CORP,0001042561,2836,1997-07-25
CURIS INC,0001108205,2836,2025-08-11
CV THERAPEUTICS INC,0000921506,2836,1996-09-25
CYPRESS BIOSCIENCE INC,0000716054,2836,1996-07-15
CytRx Oncology Corp,0001337223,2836,2006-08-07
"Dimension Therapeutics, Inc.",0001592288,2836,2015-09-14
DRUGABUSE SCIENCES INC,0001104180,2836,2000-02-03
ELUTIA INC.,0001708527,2836,2020-09-14
"ENZON PHARMACEUTICALS, INC.",0000727510,2836,2020-09-01
FENNEC PHARMACEUTICALS INC.,0001211583,2836,2010-11-12
GENAERA CORP,0000880431,2836,1999-09-28
"Gene Biotherapeutics, Inc.",0000772320,2836,1996-07-18
GENITOPE CORP,0001028358,2836,2003-08-06
GLIATECH INC,0000885741,2836,1996-05-15
GLYCOGENESYS  INC,0000946661,2836,2000-04-28
"Humacyte, Inc.",0001818382,2836,2020-08-04
IGX CORP/DE,0001070936,2836,1998-09-30
ILEX ONCOLOGY INC,0001001915,2836,1996-12-12
"IN8BIO, INC.",0001740279,2836,2020-10-16
"Inhibrx, Inc.",0001739614,2836,2019-06-03
"INTENSITY THERAPEUTICS, INC.",0001567264,2836,2021-10-28
"Kiromic Biopharma, Inc.",0001792581,2836,2020-05-11
"Klotho Neurosciences, Inc.",0001907223,2836,2022-03-10
Kodiak Sciences Inc.,0001468748,2836,2018-09-07
LadRx Corp,0000799698,2836,2000-06-21
"Lexeo Therapeutics, Inc.",0001907108,2836,2023-09-29
Mosaic ImmunoEngineering Inc.,0000836564,2836,2001-10-11
NEOPHARM INC,0000942788,2836,1999-06-23
"NKGen Biotech, Inc.",0001845459,2836,2021-02-23
"Omrix Biopharmaceuticals, Inc.",0001349426,2836,2006-01-18
ORAVAX INC /DE/,0000900122,2836,1996-06-26
"OSIRIS THERAPEUTICS, INC.",0001360886,2836,2006-05-12
"Outlook Therapeutics, Inc.",0001649989,2836,2016-01-15
"PANACOS PHARMACEUTICALS, INC.",0001040017,2836,1998-02-26
Prevail Therapeutics Inc.,0001714798,2836,2019-05-24
PROGENITOR INC,0000936537,2836,1996-06-06
"rEVO Biologics, Inc.",0000904973,2836,1996-06-12
"Revolution Medicines, Inc.",0001628171,2836,2020-01-17
"Sequoia Vaccines, Inc.",0001650789,2836,2023-11-06
"STEM CELL INNOVATIONS, INC.",0000351532,2836,2002-02-14
STRATAGENE  CORP,0001108674,2836,2000-03-10
"TAMIR BIOTECHNOLOGY, INC.",0000708717,2836,2000-05-31
"Tectonic Therapeutic, Inc.",0001681087,2836,2018-05-25
TITAN PHARMACEUTICALS INC,0000910267,2836,2005-10-18
TRANSCEND THERAPEUTICS INC,0001020910,2836,1996-08-22
TRANSKARYOTIC THERAPIES INC,0000885259,2836,1996-08-27
VION PHARMACEUTICALS INC,0000944522,2836,1999-07-27
VIRAGEN INC,0000353482,2836,1999-12-22
VIRUS RESEARCH INSTITUTE INC,0000902010,2836,1996-05-29
Voyager Acquisition Corp./Cayman Islands,0002006815,2836,2024-06-18
